Contig A,Contig B,Interaction Score
MBR2829755.1,MBQ9824173.1,0.5931103572323034
MBO5520212.1,MBQ6173334.1,0.5921540948521209
MBD5156460.1,EAO76197.1,0.58987727966121
MBR1821073.1,MCD8099887.1,0.5893308440153913
MBR1821073.1,MBR4633184.1,0.5892170032558457
MBR1821073.1,MBP3789360.1,0.5880330593565719
MBO5544287.1,AAL09332.1,0.5875321600145715
MBR2596575.1,MBQ9824173.1,0.5860977664442977
MBP1530666.1,MBR1513057.1,0.5860522301404795
MBO5520212.1,MBO5605271.1,0.5859383893809339
MBR2829755.1,AAL09332.1,0.5849593588488422
MBQ6564140.1,MBR3007466.1,0.5848455180892966
MBP3802026.1,MBR1821073.1,0.5831151385442043
MBO5520212.1,CDW77704.1,0.5830923703922952
MBR2596575.1,MBP1530666.1,0.5829102251770223
MBO5520212.1,MBQ2506276.1,0.5818401220372942
MBE8951070.1,MBR1821073.1,0.5811570774800209
MBP1530666.1,MBR5910679.1,0.5810204685685663
MBR1821073.1,CDW90730.1,0.5803601921632021
MBP1530666.1,MBO5544287.1,0.5799048291250198
MBR2829755.1,MBR3007466.1,0.5769222012249265
MBQ4124991.1,MBR1821073.1,0.5761480840600168
MBO5520212.1,QNM08892.1,0.5742355592996516
MBP1530666.1,MBQ2506276.1,0.5734159058309237
MBO5520212.1,MBO7618333.1,0.5723002663873774
MBP1530666.1,QNM08892.1,0.5715261492224676
MBR0464215.1,MBR1821073.1,0.5708431046651943
MBO5520212.1,MBQ4399209.1,0.5696136244621024
ASV60182.1,WP_074650843.1,0.569545320006375
MBO5520212.1,MBO6269818.1,0.5688622754491017
MBP1530666.1,MBQ6173334.1,0.5674961863345552
MBR2596575.1,AAL09332.1,0.5674734181826461
MBR1821073.1,CAD8044714.1,0.5672002003597367
MBP3801630.1,MBR1821073.1,0.5670635914482821
MBQ9048695.1,EAO76197.1,0.5663805468910088
AAL09332.1,CDW77704.1,0.5643086450672798
HIW00077.1,MBR1821073.1,0.5637849775733703
ASV60182.1,MBQ6564140.1,0.5618724528130051
MBQ5411159.1,MBR1821073.1,0.5611438719519137
MBO5544287.1,WP_074650843.1,0.5611438719519137
MBO5520212.1,MBR4710820.1,0.5607795815213679
MBR3007466.1,EAO76197.1,0.5603925229389131
WP_086488123.1,MBR1821073.1,0.5600282325083672
MBR2829755.1,MBQ9664510.1,0.5600282325083672
MBO5632831.1,MBR1821073.1,0.5598005509892762
MBQ9048695.1,MBQ6564140.1,0.5587532160014571
MBQ9048695.1,MBD5156460.1,0.5586849115457299
MBR1888293.1,AAL09332.1,0.5583889255709114
MBR1821073.1,MBQ6602043.1,0.5571366772159103
MBP1530666.1,MBO6242946.1,0.5567723867853647
MBR6907536.1,MBQ6564140.1,0.5562714874433642
ALR87692.1,AAL09332.1,0.5552469206074542
MBR6907536.1,MBR3404888.1,0.5550192390883631
MBO5605271.1,AAL09332.1,0.5540629767081806
MBP1530666.1,MBQ4399209.1,0.5532888595432708
MBQ1489446.1,MBR1821073.1,0.5524009016188155
MBR0464215.1,AAL09332.1,0.5517178570615422
MBR5910679.1,WP_074650843.1,0.5506705220737232
MBR5632077.1,MBR1821073.1,0.5506705220737232
MBR1513057.1,EAO76197.1,0.5505339131622686
AAL09332.1,MBQ6680592.1,0.5488490699209945
MBR3404888.1,MBQ9664510.1,0.5487124610095399
MBQ9824173.1,MBO5605271.1,0.5486669247057216
MBR1821073.1,MBE5998621.1,0.5486441565538125
MBQ2477263.1,MBR1821073.1,0.5485075476423578
MBQ6036876.1,MBP1530666.1,0.5484164750347214
MBQ9824173.1,XP_016974417.1,0.5483709387309031
MBR6907536.1,EAO76197.1,0.5480977209079939
MBQ8928992.1,MBQ9824173.1,0.54793834384463
MBQ9824173.1,WP_086488123.1,0.5468910088568111
MBQ9824173.1,MBR1888293.1,0.5463445732109924
MBO5520212.1,CAC9670365.1,0.5459347464766285
MBD5156460.1,MBR3007466.1,0.5452972382231734
MBP1530666.1,MBO5605271.1,0.5451833974636279
MBP1530666.1,MBQ7535020.1,0.5450240204002641
MBQ9824173.1,ALR87692.1,0.5445003529063546
MBO5520212.1,XP_016974417.1,0.5442954395391727
MBR1513057.1,MBD5156460.1,0.5439311491086268
MBQ6036876.1,MBR2829755.1,0.5432708727032627
MBQ6564140.1,EAO76197.1,0.5431114956398989
MBO5544287.1,MBQ6564140.1,0.5430204230322624
MBQ6036876.1,MBO5520212.1,0.542291842171171
AAL09332.1,MBO7618333.1,0.5421552332597163
AAL09332.1,MBQ6173334.1,0.5415632613100795
MBQ6341754.1,MBR1821073.1,0.5414266523986248
MBR4710820.1,AAL09332.1,0.5411306664238063
MBQ8928992.1,AAL09332.1,0.5407208396894424
